AIRPORT_ID,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC_SEQ_ID2,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,LAT_DEGREES,LAT_HEMISPHERE,LAT_MINUTES,LAT_SECONDS,LATITUDE,LON_DEGREES,LON_HEMISPHERE,LON_MINUTES,LON_SECONDS,LONGITUDE,AIRPORT_START_DATE,AIRPORT_THRU_DATE,AIRPORT_IS_CLOSED,AIRPORT_IS_LATEST
14696,South Bend Regional,"South Bend, IN",4201,United States,US,Indiana,41,N,42,17,41.70472222,86,W,19,0,-86.31666667,1/1/2001 12:00:00 AM,12/31/2005 12:00:00 AM,0,0
14696,South Bend Regional,"South Bend, IN",4201,United States,US,Indiana,41,N,42,17,41.70472222,86,W,19,0,-86.31666667,1/1/2006 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
14696,South Bend Regional,"South Bend, IN",4201,United States,US,Indiana,41,N,42,30,41.70833333,86,W,19,2,-86.31722222,7/1/2011 12:00:00 AM,2/29/2012 12:00:00 AM,0,0
14696,South Bend Regional,"South Bend, IN",4201,United States,US,Indiana,41,N,42,30,41.70833333,86,W,19,2,-86.31722222,11/1/2017 12:00:00 AM,11/30/2017 12:00:00 AM,0,0
14697,Salina-Gunnison,"Salina, UT",8701,United States,US,Utah,39,N,1,45,39.02916667,111,W,50,18,-111.83833333,3/1/1987 12:00:00 AM,,0,1
14698,San Luis County Regional,"San Luis Obispo, CA",9101,United States,US,California,35,N,14,14,35.23722222,120,W,38,33,-120.64250000,7/1/2011 12:00:00 AM,6/30/2025 12:00:00 AM,0,0
14698,San Luis Obispo County Regional,"San Luis Obispo, CA",9101,United States,US,California,35,N,14,12,35.23666667,120,W,38,21,-120.63916667,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
14698,San Luis Obispo County Regional,"San Luis Obispo, CA",9101,United States,US,California,35,N,14,13,35.23694444,120,W,38,25,-120.64027778,7/1/2025 12:00:00 AM,,0,1
14699,Steamboat Springs/Bob Adams Field,"Steamboat Springs, CO",8201,United States,US,Colorado,40,N,30,58,40.51611111,106,W,51,59,-106.86638889,7/1/2011 12:00:00 AM,9/30/2022 12:00:00 AM,0,0
14699,Steamboat Springs/Bob Adams Field,"Steamboat Springs, CO",8201,United States,US,Colorado,40,N,30,59,40.51638889,106,W,51,59,-106.86638889,10/1/2022 12:00:00 AM,,0,1
14699,Steamboat Springs/Bob Adams Field,"Steamboat Springs, CO",8201,United States,US,Colorado,40,N,31,0,40.51666667,106,W,51,45,-106.86250000,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
14700,Tri City,"San Bernardino, CA",9101,United States,US,California,34,N,4,3,34.06750000,117,W,16,26,-117.27388889,3/1/1982 12:00:00 AM,5/31/1983 12:00:00 AM,0,0
14700,Tri-City,"San Bernardino, CA",9101,United States,US,California,34,N,4,3,34.06750000,117,W,16,29,-117.27472222,6/1/1983 12:00:00 AM,,0,1
14701,Springbok Airport,"Springbok, South Africa",56201,South Africa,ZA,,29,S,41,19,-29.68861111,17,E,56,22,17.93944444,9/1/1975 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
14701,Springbok Airport,"Springbok, South Africa",56201,South Africa,ZA,,29,S,41,22,-29.68944444,17,E,56,23,17.93972222,7/1/2011 12:00:00 AM,,0,1
14702,William M Tuck,"South Boston, VA",3801,United States,US,Virginia,36,N,42,31,36.70861111,78,W,50,55,-78.84861111,1/1/1950 12:00:00 AM,9/30/1978 12:00:00 AM,1,1
14703,Sibu Airport,"Sibu, Malaysia",74901,Malaysia,MY,,2,N,15,42,2.26166667,111,E,59,7,111.98527778,6/1/1994 12:00:00 AM,12/31/2012 12:00:00 AM,0,0
14703,Sibu Airport,"Sibu, Malaysia",74901,Malaysia,MY,,2,N,15,42,2.26166667,111,E,59,7,111.98527778,11/1/2017 12:00:00 AM,11/30/2017 12:00:00 AM,0,0
14703,Sibu Airport,"Sibu, Malaysia",74901,Malaysia,MY,,2,N,15,43,2.26194444,111,E,59,7,111.98527778,10/1/2022 12:00:00 AM,,0,1
14703,Sibu Airport,"Sibu, Malaysia",74901,Malaysia,MY,,2,N,15,43,2.26194444,111,E,59,8,111.98555556,1/1/2013 12:00:00 AM,10/31/2017 12:00:00 AM,0,0
14703,Sibu Airport,"Sibu, Malaysia",74901,Malaysia,MY,,2,N,15,43,2.26194444,111,E,59,8,111.98555556,12/1/2017 12:00:00 AM,9/30/2022 12:00:00 AM,0,0
14703,Sibu Airport,"Sibu, Malaysia",74901,Malaysia,MY,,2,N,20,25,2.34027778,111,E,50,18,111.83833333,8/1/1957 12:00:00 AM,5/31/1994 12:00:00 AM,0,0
14704,Salisbury-Ocean City/Wicomico Regional,"Salisbury, MD",3501,United States,US,Maryland,38,N,20,19,38.33861111,75,W,30,36,-75.51000000,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
14704,Salisbury-Ocean City/Wicomico Regional,"Salisbury, MD",3501,United States,US,Maryland,38,N,20,25,38.34027778,75,W,30,34,-75.50944444,8/1/2017 12:00:00 AM,10/31/2017 12:00:00 AM,0,0
