RANK,AIRPORT_ID,AIRPORT_CODE,AIRPORT_NAME,CITY,DEPARTURES,ARRIVALS,TOTAL_THROUGHPUT
116,11267,DAY,James M Cox/Dayton International,"Dayton, OH",581,584,1165
117,12402,ITO,Hilo International,"Hilo, HI",567,567,1134
118,11603,EUG,Mahlon Sweet Field,"Eugene, OR",562,563,1125
119,14321,PWM,Portland International Jetport,"Portland, ME",562,559,1121
120,14689,SBA,Santa Barbara Municipal,"Santa Barbara, CA",560,560,1120
121,10408,ATW,Appleton International,"Appleton, WI",559,559,1118
122,10466,AZA,Mesa Gateway,"Phoenix, AZ",553,554,1107
123,11775,FSD,Joe Foss Field,"Sioux Falls, SD",549,549,1098
124,10785,BTV,Patrick Leahy Burlington International,"Burlington, VT",536,535,1071
125,14252,PSC,Tri Cities,"Pasco/Kennewick/Richland, WA",515,514,1029
126,15024,STT,Cyril E King,"Charlotte Amalie, VI",506,506,1012
127,12448,JAN,Jackson Medgar Wiley Evers International,"Jackson/Vicksburg, MS",498,499,997
128,12896,LBB,Lubbock Preston Smith International,"Lubbock, TX",496,496,992
129,11823,FWA,Fort Wayne International,"Fort Wayne, IN",488,489,977
130,10868,CAE,Columbia Metropolitan,"Columbia, SC",483,485,968
131,10980,CHA,Lovell Field,"Chattanooga, TN",478,480,958
132,13256,MFE,McAllen International,"Mission/McAllen/Edinburg, TX",466,466,932
133,14489,RDM,Roberts Field,"Bend/Redmond, OR",456,455,911
134,12323,ILM,Wilmington International,"Wilmington, NC",453,451,904
135,14698,SBP,San Luis Obispo County Regional,"San Luis Obispo, CA",424,425,849
136,11481,ECP,Northwest Florida Beaches International,"Panama City, FL",416,415,831
137,12391,ISP,Long Island MacArthur,"Islip, NY",411,411,822
138,15249,TLH,Tallahassee International,"Tallahassee, FL",395,394,789
139,10279,AMA,Rick Husband Amarillo International,"Amarillo, TX",390,389,779
140,13476,MRY,Monterey Regional,"Monterey, CA",387,388,775
141,12206,HRL,Valley International,"Harlingen/San Benito, TX",386,386,772
142,11921,GJT,Grand Junction Regional,"Grand Junction, CO",379,379,758
143,14108,PIA,General Downing - Peoria International,"Peoria, IL",370,370,740
144,13296,MHT,Manchester Boston Regional,"Manchester, NH",367,367,734
145,10627,BIS,Bismarck Municipal,"Bismarck/Mandan, ND",366,366,732
146,10620,BIL,Billings Logan International,"Billings, MT",364,365,729
147,13264,MFR,Rogue Valley International - Medford,"Medford, OR",356,356,712
148,10781,BTR,Baton Rouge Metropolitan/Ryan Field,"Baton Rouge, LA",355,357,712
149,14814,SHV,Shreveport Regional,"Shreveport, LA",352,351,703
150,12094,HDN,Yampa Valley,"Hayden, CO",346,346,692
151,12523,JNU,Juneau International,"Juneau, AK",334,333,667
152,11413,DRO,Durango La Plata County,"Durango, CO",316,316,632
153,12280,IDA,Idaho Falls Regional,"Idaho Falls, ID",316,316,632
154,14457,RAP,Rapid City Regional,"Rapid City, SD",314,313,627
155,14794,SGU,St George Regional,"St. George, UT",308,308,616
156,13230,MDT,Harrisburg International,"Harrisburg, PA",306,305,611
157,10874,CAK,Akron-Canton Regional,"Akron, OH",298,298,596
158,11140,CRP,Corpus Christi International,"Corpus Christi, TX",297,297,594
159,13486,MSO,Missoula Montana,"Missoula, MT",288,288,576
160,11977,GRB,Green Bay Austin Straubel International,"Green Bay, WI",284,285,569
161,15023,STS,Charles M. Schulz - Sonoma County,"Santa Rosa, CA",279,279,558
162,11973,GPT,Gulfport-Biloxi International,"Gulfport/Biloxi, MS",279,278,557
163,15041,SUN,Friedman Memorial,"Sun Valley/Hailey/Ketchum, ID",277,279,556
164,13502,MTJ,Montrose Regional,"Montrose/Delta, CO",278,278,556
165,15380,TVC,Cherry Capital,"Traverse City, MI",272,270,542
166,11630,FAI,Fairbanks International,"Fairbanks, AK",272,270,542
167,13367,MLI,Quad Cities International,"Moline, IL",263,263,526
168,11648,FCA,Glacier Park International,"Kalispell, MT",254,254,508
169,14314,PVU,Provo Municipal,"Provo, UT",252,252,504
170,14674,SAF,Santa Fe Regional,"Santa Fe, NM",250,250,500
171,13360,MLB,Melbourne Orlando International,"Melbourne, FL",244,244,488
172,10561,BFL,Meadows Field,"Bakersfield, CA",240,240,480
173,10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",233,233,466
174,11146,CRW,West Virginia International Yeager,"Charleston/Dunbar, WV",231,232,463
175,11252,DAB,Daytona Beach International,"Daytona Beach, FL",225,224,449
176,12003,GTF,Great Falls International,"Great Falls, MT",221,221,442
177,13433,MOT,Minot International,"Minot, ND",216,217,433
178,10158,ACY,Atlantic City International,"Atlantic City, NJ",205,206,411
179,10732,BQN,Rafael Hernandez,"Aguadilla, PR",204,204,408
180,11721,FNT,Bishop International,"Flint, MI",200,200,400
181,13277,MGM,Montgomery Regional,"Montgomery, AL",192,192,384
182,10666,BLI,Bellingham International,"Bellingham, WA",189,189,378
183,11953,GNV,Gainesville Regional,"Gainesville, FL",187,188,375
184,11122,CPR,Casper/Natrona County International,"Casper, WY",186,186,372
185,12819,KTN,Ketchikan International,"Ketchikan, AK",182,182,364
186,16869,XWA,Williston Basin International,"Williston, ND",178,178,356
187,12951,LFT,Lafayette Regional Paul Fournet Field,"Lafayette, LA",177,177,354
188,13184,MBS,MBS International,"Saginaw/Bay City/Midland, MI",176,176,352
189,10581,BGR,Bangor International,"Bangor, ME",166,166,332
190,10208,AGS,Augusta Regional at Bush Field,"Augusta, GA",165,165,330
191,11612,EVV,Evansville Regional,"Evansville, IN",164,164,328
192,13061,LRD,Laredo International,"Laredo, TX",164,164,328
193,13029,LNK,Lincoln Airport,"Lincoln, NE",163,163,326
194,11982,GRK,Robert Gray AAF,"Killeen, TX",152,152,304
195,10136,ABI,Abilene Regional,"Abilene, TX",150,151,301
196,11337,DLH,Duluth International,"Duluth, MN",150,150,300
197,12156,HLN,Helena Regional,"Helena, MT",149,149,298
198,11111,COU,Columbia Regional,"Columbia, MO",148,148,296
199,15027,STX,Henry E. Rohlsen,"Christiansted, VI",147,147,294
200,10157,ACV,California Redwood Coast Humboldt County,"Arcata/Eureka, CA",143,143,286
201,16218,YUM,Yuma MCAS/Yuma International,"Yuma, AZ",143,143,286
202,14574,ROA,Roanoke Blacksburg Regional,"Roanoke, VA",141,141,282
203,10747,BRO,Brownsville South Padre Island International,"Brownsville, TX",137,137,274
204,12012,GUC,Gunnison-Crested Butte Regional,"Gunnison, CO",130,130,260
205,11695,FLG,Flagstaff Pulliam,"Flagstaff, AZ",122,121,243
206,14487,RDD,Redding Regional,"Redding, CA",121,121,242
207,10434,AVP,Wilkes Barre Scranton International,"Scranton/Wilkes-Barre, PA",115,115,230
208,11067,CMI,University of Illinois/Willard,"Champaign/Urbana, IL",114,114,228
209,12884,LAN,Capital Region International,"Lansing, MI",106,106,212
210,14004,PAE,Seattle Paine Field International,"Everett, WA",102,102,204
211,13422,MOB,Mobile Regional,"Mobile, AL",101,101,202
212,11778,FSM,Fort Smith Regional,"Fort Smith, AR",93,93,186
213,11049,CLL,Easterwood Field,"College Station/Bryan, TX",93,93,186
214,10155,ACT,Waco Regional,"Waco, TX",93,93,186
215,13290,MHK,Manhattan Regional,"Manhattan/Ft. Riley, KS",93,93,186
216,13377,MLU,Monroe Regional,"Monroe, LA",93,93,186
217,13127,LWS,Lewiston Nez Perce County,"Lewiston, ID",93,93,186
218,15411,TYR,Tyler Pounds Regional,"Tyler, TX",93,93,186
219,10185,AEX,Alexandria International,"Alexandria, LA",93,93,186
220,14588,ROW,Roswell Air Center,"Roswell, NM",93,93,186
221,14842,SJT,San Angelo Regional/Mathis Field,"San Angelo, TX",93,93,186
222,12891,LAW,Lawton-Fort Sill Regional,"Lawton/Fort Sill, OK",93,93,186
223,12915,LCH,Lake Charles Regional,"Lake Charles, LA",93,93,186
224,14828,SIT,Sitka Rocky Gutierrez,"Sitka, AK",92,92,184
225,13459,MQT,Marquette Sawyer Regional,"Marquette, MI",90,91,181
226,11537,ELM,Elmira/Corning Regional,"Elmira/Corning, NY",87,87,174
227,13933,ORH,Worcester Regional,"Worcester, MA",86,86,172
228,10990,CHO,Charlottesville Albemarle,"Charlottesville, VA",86,86,172
229,11980,GRI,Central Nebraska Regional,"Grand Island, NE",84,84,168
230,10469,AZO,Kalamazoo/Battle Creek International,"Kalamazoo, MI",84,84,168
231,10685,BMI,Central Il Regional Airport at Bloomington,"Bloomington/Normal, IL",82,82,164
232,15356,TTN,Trenton Mercer,"Trenton, NJ",78,78,156
233,10146,ABY,Southwest Georgia Regional,"Albany, GA",74,75,149
234,14512,RFD,Chicago/Rockford International,"Rockford, IL",70,70,140
235,12124,HHH,Hilton Head Airport,"Hilton Head, SC",68,68,136
236,13795,OAJ,Albert J Ellis,"Jacksonville/Camp Lejeune, NC",67,67,134
237,10676,BLV,Scott AFB MidAmerica St Louis,"Belleville, IL",66,66,132
238,12917,LCK,Rickenbacker International,"Columbus, OH",63,63,126
239,14877,SLN,Salina Regional,"Salina, KS",62,63,125
240,12177,HOB,Lea County Regional,"Hobbs, NM",62,62,124
