RANK,AIRPORT_ID,AIRPORT_CODE,AIRPORT_NAME,CITY,DEPARTURES,ARRIVALS,MIN_FLOW,BALANCE_RATIO,TOTAL_THROUGHPUT
200,16218,YUM,Yuma MCAS/Yuma International,"Yuma, AZ",143,143,143,100.0,286
201,10157,ACV,California Redwood Coast Humboldt County,"Arcata/Eureka, CA",143,143,143,100.0,286
202,14574,ROA,Roanoke Blacksburg Regional,"Roanoke, VA",141,141,141,100.0,282
203,10747,BRO,Brownsville South Padre Island International,"Brownsville, TX",137,137,137,100.0,274
204,12012,GUC,Gunnison-Crested Butte Regional,"Gunnison, CO",130,130,130,100.0,260
205,14487,RDD,Redding Regional,"Redding, CA",121,121,121,100.0,242
206,11695,FLG,Flagstaff Pulliam,"Flagstaff, AZ",122,121,121,99.59,243
207,10434,AVP,Wilkes Barre Scranton International,"Scranton/Wilkes-Barre, PA",115,115,115,100.0,230
208,11067,CMI,University of Illinois/Willard,"Champaign/Urbana, IL",114,114,114,100.0,228
209,12884,LAN,Capital Region International,"Lansing, MI",106,106,106,100.0,212
210,14004,PAE,Seattle Paine Field International,"Everett, WA",102,102,102,100.0,204
211,13422,MOB,Mobile Regional,"Mobile, AL",101,101,101,100.0,202
212,11049,CLL,Easterwood Field,"College Station/Bryan, TX",93,93,93,100.0,186
213,10155,ACT,Waco Regional,"Waco, TX",93,93,93,100.0,186
214,11778,FSM,Fort Smith Regional,"Fort Smith, AR",93,93,93,100.0,186
215,14588,ROW,Roswell Air Center,"Roswell, NM",93,93,93,100.0,186
216,13377,MLU,Monroe Regional,"Monroe, LA",93,93,93,100.0,186
217,13290,MHK,Manhattan Regional,"Manhattan/Ft. Riley, KS",93,93,93,100.0,186
218,10185,AEX,Alexandria International,"Alexandria, LA",93,93,93,100.0,186
219,13127,LWS,Lewiston Nez Perce County,"Lewiston, ID",93,93,93,100.0,186
220,12891,LAW,Lawton-Fort Sill Regional,"Lawton/Fort Sill, OK",93,93,93,100.0,186
221,15411,TYR,Tyler Pounds Regional,"Tyler, TX",93,93,93,100.0,186
222,12915,LCH,Lake Charles Regional,"Lake Charles, LA",93,93,93,100.0,186
223,14842,SJT,San Angelo Regional/Mathis Field,"San Angelo, TX",93,93,93,100.0,186
224,14828,SIT,Sitka Rocky Gutierrez,"Sitka, AK",92,92,92,100.0,184
225,13459,MQT,Marquette Sawyer Regional,"Marquette, MI",90,91,90,99.45,181
226,11537,ELM,Elmira/Corning Regional,"Elmira/Corning, NY",87,87,87,100.0,174
227,13933,ORH,Worcester Regional,"Worcester, MA",86,86,86,100.0,172
228,10990,CHO,Charlottesville Albemarle,"Charlottesville, VA",86,86,86,100.0,172
229,10469,AZO,Kalamazoo/Battle Creek International,"Kalamazoo, MI",84,84,84,100.0,168
230,11980,GRI,Central Nebraska Regional,"Grand Island, NE",84,84,84,100.0,168
231,10685,BMI,Central Il Regional Airport at Bloomington,"Bloomington/Normal, IL",82,82,82,100.0,164
232,15356,TTN,Trenton Mercer,"Trenton, NJ",78,78,78,100.0,156
233,10146,ABY,Southwest Georgia Regional,"Albany, GA",74,75,74,99.33,149
234,14512,RFD,Chicago/Rockford International,"Rockford, IL",70,70,70,100.0,140
235,12124,HHH,Hilton Head Airport,"Hilton Head, SC",68,68,68,100.0,136
236,13795,OAJ,Albert J Ellis,"Jacksonville/Camp Lejeune, NC",67,67,67,100.0,134
237,10676,BLV,Scott AFB MidAmerica St Louis,"Belleville, IL",66,66,66,100.0,132
238,12917,LCK,Rickenbacker International,"Columbus, OH",63,63,63,100.0,126
239,14960,SPS,Sheppard AFB/Wichita Falls Municipal,"Wichita Falls, TX",62,62,62,100.0,124
240,15048,SUX,Sioux Gateway Brig Gen Bud Day Field,"Sioux City, IA",62,62,62,100.0,124
241,11865,GCC,Northeast Wyoming Regional,"Gillette, WY",62,62,62,100.0,124
242,15074,SWO,Stillwater Regional,"Stillwater, OK",62,62,62,100.0,124
243,14877,SLN,Salina Regional,"Salina, KS",62,63,62,99.2,125
244,15401,TXK,Texarkana Regional-Webb Field,"Texarkana, AR",62,62,62,100.0,124
245,11905,GGG,East Texas Regional,"Longview, TX",62,62,62,100.0,124
246,14534,RIW,Central Wyoming Regional,"Riverton/Lander, WY",62,62,62,100.0,124
247,14543,RKS,Southwest Wyoming Regional,"Rock Springs, WY",62,62,62,100.0,124
248,11867,GCK,Garden City Regional,"Garden City, KS",62,62,62,100.0,124
249,14812,SHR,Sheridan County,"Sheridan, WY",62,62,62,100.0,124
250,11097,COD,Yellowstone Regional,"Cody, WY",62,62,62,100.0,124
251,11076,CMX,Houghton County Memorial,"Hancock/Houghton, MI",62,62,62,100.0,124
252,14237,PRC,Prescott Regional Ernest A Love Field,"Prescott, AZ",62,62,62,100.0,124
253,10728,BPT,Jack Brooks Regional,"Beaumont/Port Arthur, TX",62,62,62,100.0,124
254,12016,GUM,Guam International,"Guam, TT",62,62,62,100.0,124
255,12177,HOB,Lea County Regional,"Hobbs, NM",62,62,62,100.0,124
256,12559,JST,John Murtha Johnstown-Cambria County,"Johnstown, PA",62,62,62,100.0,124
257,13282,MGW,Morgantown Municipal Walter L Bill Hart Field,"Morgantown, WV",62,62,62,100.0,124
258,15389,TWF,Joslin Field - Magic Valley Regional,"Twin Falls, ID",61,61,61,100.0,122
259,10141,ABR,Aberdeen Regional,"Aberdeen, SD",61,61,61,100.0,122
260,10631,BJI,Bemidji Regional,"Bemidji, MN",61,61,61,100.0,122
261,14520,RHI,Rhinelander/Oneida County,"Rhinelander, WI",61,61,61,100.0,122
262,14113,PIH,Pocatello Regional,"Pocatello, ID",61,61,61,100.0,122
263,11013,CIU,Chippewa County International,"Sault Ste. Marie, MI",61,61,61,100.0,122
264,12511,JLN,Joplin Regional,"Joplin, MO",61,61,61,100.0,122
265,12335,IMT,Ford,"Iron Mountain/Kingsfd, MI",61,61,61,100.0,122
266,15991,YAK,Yakutat Airport,"Yakutat, AK",60,60,60,100.0,120
267,10551,BET,Bethel Airport,"Bethel, AK",60,60,60,100.0,120
268,14256,PSG,Petersburg James A Johnson,"Petersburg, AK",60,60,60,100.0,120
269,10926,CDV,Merle K Mudhole Smith,"Cordova, AK",60,60,60,100.0,120
270,14025,PBG,Plattsburgh International,"Plattsburgh, NY",60,60,60,100.0,120
271,15841,WRG,Wrangell Airport,"Wrangell, AK",60,60,60,100.0,120
272,10170,ADQ,Kodiak Airport,"Kodiak, AK",59,60,59,99.16,119
273,11447,DVL,Devils Lake Regional,"Devils Lake, ND",58,58,58,100.0,116
274,11233,CYS,Cheyenne Regional/Jerry Olson Field,"Cheyenne, WY",58,58,58,100.0,116
275,12519,JMS,Jamestown Regional,"Jamestown, ND",58,58,58,100.0,116
276,11315,DIK,Dickinson - Theodore Roosevelt Regional,"Dickinson, ND",58,59,58,99.15,117
277,10779,BTM,Bert Mooney,"Butte, MT",57,58,57,99.13,115
278,11587,ESC,Delta County,"Escanaba, MI",55,55,55,100.0,110
279,13241,MEI,Key Field,"Meridian, MS",54,54,54,100.0,108
280,12129,HIB,Range Regional,"Hibbing, MN",54,54,54,100.0,108
281,11471,EAU,Chippewa Valley Regional,"Eau Claire, WI",54,54,54,100.0,108
282,10918,CDC,Cedar City Regional,"Cedar City, UT",54,54,54,100.0,108
283,12343,INL,Falls International Einarson Field,"International Falls, MN",54,54,54,100.0,108
284,12255,HYS,Hays Regional,"Hays, KS",54,54,54,100.0,108
285,13211,MCW,Mason City Municipal,"Mason City, IA",54,54,54,100.0,108
286,10333,APN,Alpena County Regional,"Alpena, MI",54,54,54,100.0,108
287,12888,LAR,Laramie Regional,"Laramie, WY",54,54,54,100.0,108
288,15569,VCT,Victoria Regional,"Victoria, TX",54,54,54,100.0,108
289,12902,LBL,Liberal Mid-America Regional,"Liberal, KS",54,54,54,100.0,108
290,10617,BIH,Bishop Airport,"Bishop, CA",54,54,54,100.0,108
291,11725,FOD,Fort Dodge Regional,"Fort Dodge, IA",54,54,54,100.0,108
292,11288,DEC,Decatur Airport,"Decatur, IL",54,54,54,100.0,108
293,11283,DDC,Dodge City Regional,"Dodge City, KS",54,54,54,100.0,108
294,14109,PIB,Hattiesburg-Laurel Regional,"Hattiesburg/Laurel, MS",54,54,54,100.0,108
295,10739,BRD,Brainerd Lakes Regional,"Brainerd, MN",54,54,54,100.0,108
296,14150,PLN,Pellston Regional Emmet County,"Pellston, MI",54,54,54,100.0,108
297,11898,GFK,Grand Forks International,"Grand Forks, ND",53,53,53,100.0,106
298,11468,EAR,Kearney Regional,"Kearney, NE",53,53,53,100.0,106
299,12899,LBF,North Platte Regional Airport Lee Bird Field,"North Platte, NE",53,53,53,100.0,106
300,10558,BFF,Scottsbluff W Neb Regional Wm B Heilig Field,"Scottsbluff, NE",53,53,53,100.0,106
301,12544,USA,Concord Padgett Regional,"Concord, NC",50,50,50,100.0,100
302,14709,SCC,Deadhorse Airport,"Deadhorse, AK",48,48,48,100.0,96
303,15070,SWF,New York Stewart International,"Newburgh/Poughkeepsie, NY",47,47,47,100.0,94
304,14254,PSE,Mercedita,"Ponce, PR",45,44,44,98.88,89
305,14716,SCK,Stockton Metro,"Stockton, CA",42,42,42,100.0,84
306,15323,TRI,Tri Cities,"Bristol/Johnson City/Kingsport, TN",41,41,41,100.0,82
307,14259,PSM,Portsmouth International at Pease,"Portsmouth, NH",37,37,37,100.0,74
308,13076,LSE,La Crosse Regional,"La Crosse, WI",37,38,37,98.67,75
309,15295,TOL,Eugene F Kranz Toledo Express,"Toledo, OH",31,31,31,100.0,62
310,11525,EKO,Elko Regional,"Elko, NV",31,31,31,100.0,62
311,14633,RST,Rochester International,"Rochester, MN",32,31,31,98.41,63
312,14955,SPN,Francisco C. Ada Saipan International,"Saipan, TT",31,31,31,100.0,62
313,14231,PQI,Presque Isle International,"Presque Isle/Houlton, ME",31,31,31,100.0,62
314,13873,OME,Nome Airport,"Nome, AK",30,30,30,100.0,60
315,13970,OTZ,Ralph Wien Memorial,"Kotzebue, AK",30,30,30,100.0,60
316,10754,BRW,Wiley Post/Will Rogers Memorial,"Barrow, AK",30,30,30,100.0,60
317,12265,IAG,Niagara Falls International,"Niagara Falls, NY",29,29,29,100.0,58
318,15008,STC,St. Cloud Regional,"St. Cloud, MN",28,28,28,100.0,56
319,11641,FAY,Fayetteville Regional/Grannis Field,"Fayetteville, NC",28,28,28,100.0,56
